user_id,avg_memory,wall_clock,system_time,blanks,avg_RAM,language,cloc,nbr_file_in,compiled,swap_main_memory,exit_code,comments,nbr_file_out,nbr_page_faults,exe_size,compiler_version,max_RAM,user_time
zenus,0,0.00,0.00,15,0,C++,50,0,0,0,0,0,0,0,47488,-,2516,0.00
zerokugi,0,0.08,0.00,116,0,C++,101,0,0,0,0,1,0,0,96880,-,2752,0.06
zglicz,-,-,-,8,-,C++,95,-,1,-,-1,2,-,-,-,-,-,-
zhangmx,-,-,-,6,-,C++,72,-,1,-,-1,2,-,-,-,-,-,-
zj77199,0,0.07,0.00,139,0,C++,139,0,0,0,0,0,0,0,56800,-,3088,0.06
zli,-,-,-,2,-,Python,17,-,0,-,1,6,-,-,828,2.7,-,-
znirzej,0,0.05,0.00,4,0,C++,123,0,0,0,0,0,0,0,72432,-,2968,0.05
zscefn,0,0.15,0.00,1,0,C++,71,0,0,0,0,2,0,0,109456,-,3356,0.12
zshhhh,-,-,-,2,-,C++,90,-,1,-,-1,1,-,-,-,-,-,-
zt5840,0,0.00,0.00,168,0,C++,133,0,0,0,0,3,0,0,96640,-,2532,0.00
zyhzyhzyh,0,0.00,0.00,2,0,C++,118,0,0,0,0,1,0,0,43112,-,2560,0.00
zzc0817,0,0.06,0.00,125,0,C++,103,0,0,0,0,10,0,0,39920,-,2748,0.05
