user_id,penalty,points,rank
IgnatyevAleksey,5574,23,2115
IgorL,3170,23,1757
IguanaBen,3146,23,1753
IlyaLos,8543,65,116
IlyaMSU,8349,52,251
ImGonnaWreckIt,8914,36,1177
Imnimo,5603,36,1028
Imsbuno,5957,37,719
Indeed,9714,52,306
InhaKorean,3085,23,1744
Insider,8979,37,962
Inspector97,2293,23,1644
Inucoder,4326,23,1946
IohcEjnim,6522,23,2217
Iskandar,2949,11,2898
Ithil,2889,23,1715
ItsLastDay,7456,37,807
IvanYU,8673,36,1158
IvayloS,7194,50,376
IwfWcf,5448,23,2102
Ixanezis,8608,52,265
JESI,4513,23,1978
JKS,8853,37,951
JKqq,5809,37,715
JSQuareD,8780,37,937
JaNo,8005,38,606
JaapB,8798,52,277
JacoCronje,3484,23,1804
Jakob223,9011,50,445
Jakub001,3038,11,2912
Jakube,8375,50,416
JanKuipers,8822,37,944
Jani.99,4929,25,1341
JaredWindover,10753,25,1553
Jarlaxle,2671,23,1690
JarrettSpiker,2359,11,2814
Jarvis57,5424,37,704
Jas0n918,7958,23,2336
JayXon,9313,50,452
Jayam,7939,36,1111
JeBeK,9578,65,142
JeHyun,7697,37,833
Jeannette,9814,38,664
JeffCsoul,7320,51,322
JeffHammer,2917,11,2887
Jens.Nyman,9000,65,130
Jeoygin,3691,23,1845
Jesus.Mesias,3604,23,1832
Jethol,4512,23,1977
Jhamra,1637,11,2736
Jianan,6112,38,535
Jianzhi,9429,36,1203
JiminP,5457,36,1025
Jingfei,2130,11,2786
Jingplusplus,6456,25,1392
Jinming,3537,23,1814
Jinxiong.Wu,4603,12,2512
JlaHceJloT,8513,37,898
JoeDai,3780,11,3004
JoepWeijers,8972,27,1291
Johnathan,9412,27,1296
Jojo.le.Barjos,1291,12,2464
JokerPoker,9384,36,1200
Joost,7971,12,2593
JulienC,3340,11,2945
Jungyhuk,10099,23,2437
JustAMan,7213,25,1426
JustNL,7749,37,836
K.A.D.R,8923,65,126
K0stIa,8752,37,933
KAP,8440,100,22
KEE,4327,23,1947
KENNYPARK,10523,65,146
KJBS2,7183,52,206
KaiZeR,8342,50,415
Kaizero,7513,86,32
KalininN,9782,65,143
KamranM,5711,37,709
KapJI,5388,36,1021
Karklenator,2349,23,1653
Kaseo,2372,23,1656
Kasugano.Sora,8758,37,934
Kawagiri,7309,38,575
Kawazoe,6703,36,1059
Keks,6474,38,548
Kh.Madi,8478,65,115
Kha,5303,37,700
Khagan,4280,23,1935
KhaotiK,8393,25,1487
Khuukii,9875,27,1301
Kiniv,7978,25,1462
Kintama,3915,11,3013
Kirhog,8699,50,430
KirillB,2317,23,1649
KishuAgarwal,3613,11,2984
Klenes,2730,11,2857
Kmcode,2001,23,1615
Kompu,3437,23,1794
KorlaMarch,2954,23,1725
Kostroma,8452,50,421
Kozim,7870,38,596
KrK,8233,52,248
Krem,7980,50,398
Krisjanis,8843,50,435
Kristofer,7905,52,237
