user_id,syatem_time,wall_clock,system_time,blanks,avg_memory,compiler_version,language,cloc,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,comments,nbr_file_out,nbr_page_faults,exe_size,max_RAM,user_time
fantastory,0.00,0.00,0.00,20,0,-,C++,76,0,0,0,0,0,5,0,0,15136,2292,0.00
eidanch,0.00,0.00,0.00,8,0,3.5,Python,22,0,0,0,0,2,5,0,0,-,7160,0.00
357,0.00,0.00,0.00,3,0,3.5,Python,33,0,0,0,0,2,0,0,0,-,7160,0.00
bsnipers,0.00,0.00,0.00,2,0,-,C++,22,0,0,0,0,0,0,0,0,7264,2260,0.00
01110111,-,-,-,29,-,-,C++,95,-,0,-,-,-15,0,-,-,16232,-,-
Fenghuo,0.00,0.00,0.00,14,0,-,C++,29,0,0,0,0,0,0,0,0,11048,2584,0.00
c3b2a1,0.00,0.00,0.00,2,0,-,C++,18,0,0,0,0,0,0,0,0,7272,2352,0.00
kshchepanovskyi,-,-,-,16,-,-,java,68,-,1,-,-,-1,3,-,-,-,-,-
johnclyde,-,-,-,3,-,2.7,Python,17,-,0,-,-,1,1,-,-,-,-,-
softhit,-,-,-,2,-,-,C++,4,-,1,-,-,-1,18,-,-,-,-,-
tomtseng,0.00,0.00,0.00,9,0,-,C++,28,0,0,0,0,0,0,0,0,11672,2464,0.00
Lanfeust,0.00,0.00,0.00,4,0,-,C++,56,0,0,0,0,0,2,0,0,8096,2456,0.00
admin123,0.00,0.06,0.00,6,0,-,java,44,0,0,0,0,0,4,64,0,-,24832,0.05
bsrinivas8687,0.00,0.00,0.00,3,0,-,C++,41,0,0,0,0,0,0,0,0,11512,2376,0.00
CharlesBradshaw,0.00,0.00,0.00,2,0,2.7,Python,11,0,0,0,0,0,2,8,0,-,6516,0.00
mfv,0.01,0.08,0.02,6,0,-,java,33,0,0,0,0,0,0,64,0,-,25152,0.06
honeybadger,0.00,0.00,0.00,19,0,2.7,Python,54,0,0,0,0,2,8,0,0,-,6188,0.00
msg555,0.00,0.00,0.00,3,0,-,C++,23,0,0,0,0,0,0,0,0,10808,2400,0.00
