user_id,blanks,comments,language,cloc,avg_memory,wall_clock,system_time,compiler_version,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,nbr_file_out,nbr_page_faults,exe_size,max_RAM,user_time
barryd,27,8,Python,77,0,0.00,0.00,2.7,0,0,0,0,0,0,0,-,7024,0.00
bartkaw,0,0,C++,24,0,0.00,0.00,-,0,0,0,0,0,0,0,10040,2408,0.00
basbursen,0,0,C++,22,0,0.00,0.00,-,0,0,0,0,0,0,0,9984,2544,0.00
battousai,8,0,C++,74,0,0.00,0.00,-,0,0,0,0,0,0,0,11328,2532,0.00
battuzz94,1,0,Python,7,0,0.00,0.00,2.7,0,0,0,0,0,0,0,-,6400,0.00
bauldaise,5,0,C++,22,0,0.03,0.02,-,0,0,0,0,0,1328,0,10088,2540,0.00
bayleef,3,0,C++,36,0,0.00,0.00,-,0,0,0,0,0,0,0,8848,2536,0.00
baz1,2,0,C++,45,-,-,-,-,-,1,-,-,-1,-,-,-,-,-
bdzl,4,2,C++,22,0,0.00,0.00,-,0,0,0,0,134,0,0,11424,2524,0.00
beans,0,2,C++,13,0,0.00,0.00,-,0,0,0,0,0,0,0,9352,2716,0.00
berger,5,0,C++,21,0,0.00,0.00,-,0,0,0,0,0,0,0,7392,2276,0.00
bezbil,5,0,Java,32,0,0.04,0.00,-,0,0,0,0,1,64,0,-,21460,0.04
bgamlath,32,3,Java,122,0,0.06,0.00,-,0,0,0,0,0,72,0,-,24112,0.06
bgdr,0,0,C++,12,0,0.00,0.00,-,0,0,0,0,0,0,0,9912,2540,0.00
bhavin1,24,1,Java,84,-,-,-,-,-,1,-,-,-1,-,-,-,-,-
bhavin77,14,2,Java,38,0,0.04,0.00,-,0,0,0,0,1,64,0,-,21276,0.04
bhrigudov,9,2,C++,41,0,0.00,0.00,-,0,0,0,0,0,0,0,8200,2620,0.00
bigOnion,41,33,Python,152,-,-,-,2.7,-,0,-,-,1,-,-,-,-,-
billionprince,9,43,C++,40,0,0.00,0.00,-,0,0,0,0,0,0,0,8808,2744,0.00
birdofprey,14,2,C++,39,0,0.60,0.05,-,0,0,0,0,0,194568,0,11016,2472,0.54
black3r,0,0,Python,7,0,0.00,0.00,3.5,0,0,0,0,2,0,0,-,7268,0.00
blackgrape,1,1,C++,30,0,0.00,0.00,-,0,0,0,0,0,1328,0,9872,2744,0.00
blackwhitebeardbeard,0,0,C++,12,0,0.00,0.00,-,0,0,0,0,0,0,0,9744,2588,0.00
blankverse,4,5,Java,57,0,0.04,0.01,-,0,0,0,0,1,64,0,-,21480,0.03
blazb,13,3,Python,24,0,0.03,0.01,2.7,0,0,0,0,0,0,0,-,19396,0.02
blednotik2,7,1,C++,38,0,0.00,0.00,-,0,0,0,0,0,0,0,9928,2384,0.00
blegat,3,0,C++,23,0,0.00,0.00,-,0,0,0,0,0,0,0,7264,2356,0.00
blerou,3,0,Python,22,0,0.00,0.00,2.7,0,0,0,0,0,0,0,-,6580,0.00
blmarket,21,0,C++,124,0,0.01,0.00,-,0,0,0,0,0,0,0,24920,2508,0.00
blueandgold11,7,0,C++,64,0,0.00,0.00,-,0,0,0,0,0,0,0,9016,2592,0.00
bluedawnstar,14,1,C++,53,-,-,-,-,-,1,-,-,-1,-,-,-,-,-
blugene,0,0,C++,19,0,0.00,0.00,-,0,0,0,0,0,0,0,9912,2480,0.00
bnn,5,3,C++,35,0,0.00,0.00,-,0,0,0,0,0,0,0,9968,2476,0.00
bobogei,5,0,C++,18,0,0.00,0.00,-,0,0,0,0,0,0,0,11136,2376,0.00
bogdan10bos,7,0,C++,42,0,0.00,0.00,-,0,0,0,0,0,0,0,8040,2056,0.00
borozdin,19,0,C++,102,-,-,-,-,-,0,-,-,-15,-,-,10640,-,-
bosung90,7,0,Java,35,0,0.07,0.01,-,0,0,0,0,0,72,0,-,24808,0.05
botraunak,4,0,C++,26,0,0.00,0.00,-,0,0,0,0,0,0,0,9912,2568,0.00
bpa,16,0,Java,77,0,0.04,0.01,-,0,0,0,0,0,64,0,-,21536,0.03
branyine,4,1,Python,27,0,0.00,0.00,2.7,0,0,0,0,2,0,0,-,6108,0.00
brew,7,2,Python,31,0,0.00,0.00,2.7,0,0,0,0,2,0,0,-,6188,0.00
brodo5,2,0,Python,19,0,0.00,0.00,2.7,0,0,0,0,2,0,0,-,6132,0.00
broot,8,2,Java,21,0,0.05,0.00,-,0,0,0,0,1,64,0,-,27152,0.04
bryanj,1,0,C++,26,0,0.00,0.00,-,0,0,0,0,0,0,0,9912,2480,0.00
bssanches,4,0,C++,37,0,0.00,0.00,-,0,0,0,0,0,0,0,11032,2616,0.00
btasdoven,8,0,C++,35,0,0.00,0.00,-,0,0,0,0,0,0,0,9952,2596,0.00
btzy,0,0,C++,10,0,0.00,0.00,-,0,0,0,0,0,0,0,7336,2280,0.00
bubblecn,3,1,Java,23,-,-,-,-,-,1,-,-,-1,-,-,-,-,-
buenroyo,11,0,Java,50,0,0.04,0.00,-,0,0,0,0,1,64,0,-,21328,0.04
buidohiep,5,1,C++,34,0,0.00,0.00,-,0,0,0,0,0,0,0,10496,2488,0.00
buiquanganh85,9,0,C#,37,0,0.01,0.00,-,0,0,0,0,0,0,0,-,14448,0.00
buko,3,2,C++,43,0,0.00,0.00,-,0,0,0,0,0,0,0,10096,2668,0.00
burakov28,5,0,C++,21,0,0.00,0.00,-,0,0,0,0,0,0,0,9912,2468,0.00
byZumZoom,7,0,C++,40,0,0.03,0.01,-,0,0,0,0,0,1328,0,10136,2456,0.01
bydooweedoo,3,0,Python,30,0,0.00,0.00,2.7,0,0,0,0,0,0,0,-,6376,0.00
byebye,5,2,C++,29,0,0.00,0.00,-,0,0,0,0,0,0,0,10216,2492,0.00
byte,3,0,C++,23,0,0.00,0.00,-,0,0,0,0,0,0,0,9936,2544,0.00
c2mm,8,0,Java,37,0,0.04,0.00,-,0,0,0,0,1,64,0,-,21408,0.03
c3b2a1,2,0,C++,15,0,0.00,0.00,-,0,0,0,0,0,0,0,7248,2312,0.00
c4big2,2,4,C++,27,-,-,-,-,-,1,-,-,-1,-,-,-,-,-
cadburys,2,0,C++,9,0,0.00,0.00,-,0,0,0,0,0,0,0,7328,2252,0.00
caf,8,0,C,20,0,0.00,0.00,-,0,0,0,0,127,0,0,7160,1436,0.00
caioaao,11,0,C++,72,0,1.96,0.00,-,0,0,0,0,0,0,0,11464,10824,1.96
caiwaifung,3,1,C++,50,0,0.00,0.00,-,0,0,0,0,0,1328,0,8736,2736,0.00
calintat,10,0,C++,24,0,0.00,0.00,-,0,0,0,0,0,0,0,8080,2136,0.00
canberkk,13,8,Java,30,0,0.04,0.00,-,0,0,0,0,1,64,0,-,21376,0.03
caozl,3,2,C++,42,-,-,-,-,-,1,-,-,-1,-,-,-,-,-
caph1993,5,1,C++,32,0,0.00,0.00,-,0,0,0,0,0,0,0,9984,2444,0.00
capythm,0,0,C++,17,0,0.00,0.00,-,0,0,0,0,0,0,0,9912,2572,0.00
caracrist,2,5,C++,23,-,-,-,-,-,1,-,-,-1,-,-,-,-,-
carlotheboss,4,0,C++,31,0,0.00,0.00,-,0,1,0,0,127,0,0,-,1436,0.00
cascal,3,0,C++,30,-,-,-,-,-,0,-,-,-15,-,-,19248,-,-
cbeausei,4,0,Python,15,0,0.00,0.00,2.7,0,0,0,0,2,0,0,-,6160,0.00
cdms,9,1,C#,40,-,-,-,-,-,1,-,-,-1,-,-,-,-,-
ceilingcat,4,1,Python,13,0,0.00,0.00,2.7,0,0,0,0,0,0,0,-,6676,0.00
cen5bin,1,0,C++,25,0,0.00,0.00,-,0,0,0,0,136,0,0,7712,2072,0.00
cerkiewny,14,0,C++,23,0,0.00,0.00,-,0,0,0,0,136,0,0,10968,2328,0.00
cgangee,4,0,C++,27,0,0.00,0.00,-,0,0,0,0,0,0,0,8240,2608,0.00
ch11y,8,0,C++,41,0,0.00,0.00,-,0,0,0,0,0,0,0,23152,2544,0.00
ch41rmn,8,15,Python,21,0,0.00,0.00,2.7,0,0,0,0,0,0,0,-,6636,0.00
chaemon,9,13,C++,61,0,0.00,0.00,-,0,0,0,0,0,0,0,10136,2540,0.00
chaitany,11,17,C++,116,0,0.00,0.00,-,0,0,0,0,0,0,0,27624,2508,0.00
champ11,0,0,C++,21,0,0.03,0.03,-,0,0,0,0,0,1328,0,11216,2476,0.00
chang2394,19,2,C++,95,0,3.74,0.00,-,0,0,0,0,0,0,0,11816,7712,3.74
changhai,4,1,Python,25,0,0.00,0.00,2.7,0,0,0,0,0,8,0,-,6428,0.00
chef29,6,7,Python,31,0,0.01,0.00,2.7,0,0,0,0,0,0,0,-,10324,0.01
chenb,7,7,Java,20,0,0.04,0.00,-,0,0,0,0,1,64,0,-,21340,0.04
chengyin,4,0,C++,15,0,0.00,0.00,-,0,0,0,0,0,0,0,9952,2588,0.00
chenxiaoqino,3,1,C++,28,0,0.00,0.00,-,0,0,0,0,0,0,0,10024,2588,0.00
cheto7,2,3,Java,28,0,0.04,0.00,-,0,0,0,0,1,64,0,-,21388,0.03
chiguri,11,6,C,25,0,0.00,0.00,-,0,0,0,0,127,0,0,7224,1276,0.00
