user_id,avg_memory,wall_clock,system_time,blanks,avg_RAM,language,cloc,nbr_file_in,compiled,swap_main_memory,exit_code,comments,nbr_file_out,nbr_page_faults,exe_size,compiler_version,compile_error_msg,run_error_msg,max_RAM,user_time
hopopo,0,0.11,0.00,12,0,C++,51,0,0,0,0,0,0,0,20856,-,-,-,2580,0.07
hqpwca,0,0.00,0.00,8,0,C++,73,0,0,0,134,0,0,0,10504,-,-,underflow error reading the file,2532,0.00
hta,-,-,-,0,-,C++,81,-,0,-,-15,0,-,-,9944,-,-,Timeout,-,-
htamas,-,-,-,3,-,Python,15,-,0,-,-15,1,-,-,1356,3.5,-,Timeout,-,-
hustsxh,0,0.00,0.00,8,0,C++,56,0,0,0,0,1,0,0,17616,-,-,-,2560,0.00
huzecong,0,0.06,0.00,8,0,C++,79,0,0,0,0,1,0,0,10168,-,-,-,2580,0.03
huzy90,-,-,-,7,-,C++,55,-,0,-,-15,0,-,-,7536,-,-,Timeout,-,-
hychen,0,0.05,0.00,5,0,C,50,0,0,0,0,2,0,0,7664,-,-,-,1432,0.05
hyeonguk,0,0.17,0.00,13,0,C++,81,0,0,0,0,0,0,0,43200,-,-,-,2660,0.09
hyksm,0,0.08,0.00,11,0,C++,75,0,0,0,0,3,0,0,8920,-,-,-,2620,0.04
iambored,0,0.29,0.00,1,0,Java,75,0,0,0,0,11,80,0,1985,-,-,-,38236,0.29
iamnoobi,0,0.00,0.00,10,0,C++,84,0,0,0,0,2,0,0,11232,-,-,-,2620,0.00
ibur,-,-,-,10,-,C++,77,-,1,-,-1,12,-,-,-,-,Unknown error,-,-,-
icedtrees,0,0.49,0.00,0,0,Python,26,0,0,0,0,2,0,0,1664,3.5,-,-,8128,0.48
icerain94,0,0.00,0.00,0,0,C++,73,0,0,0,0,0,0,0,9152,-,-,-,2512,0.00
ichyo,0,0.07,0.00,14,0,C++,81,0,0,0,0,3,0,0,19128,-,-,-,2488,0.03
iensen,0,0.06,0.00,34,0,Java,165,0,0,0,1,8,72,0,1625,-,-,java.lang.NullPointerException,25564,0.04
ihere1,0,0.08,0.00,2,0,C++,59,0,0,0,0,0,0,0,10128,-,-,-,2580,0.03
ilackthatsuperpower,0,0.00,0.00,42,0,C++,113,0,0,0,0,24,0,0,24960,-,-,-,2564,0.00
impetus,0,0.00,0.00,5,0,C++,66,0,0,0,0,2,0,0,37016,-,-,-,2592,0.00
indy256,0,0.07,0.00,15,0,Java,141,0,0,0,1,4,72,0,1625,-,-,java.lang.NullPointerException,25308,0.05
inker,0,0.62,0.01,6,0,Python,33,8,0,0,0,6,0,0,1549,2.7,-,-,7028,0.59
insulator,0,0.33,0.02,2,0,Java,42,0,0,0,0,0,72,0,1247,-,-,-,62880,0.38
intrepid,0,0.17,0.00,10,0,C++,108,0,0,0,0,4,0,0,35688,-,-,-,2412,0.08
inutard,0,0.11,0.00,5,0,C++,45,0,0,0,0,0,0,0,13296,-,-,-,2628,0.04
ir5,0,0.17,0.00,9,0,C++,39,0,0,0,0,12,0,0,17744,-,-,-,2576,0.08
