user_id,avg_memory,wall_clock,system_time,blanks,language,compiler_version,cloc,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,comments,nbr_file_out,nbr_page_faults,exe_size,compile_error_msg,run_error_msg,max_RAM,user_time
maiyatang,-,-,-,117,C++,-,49,-,0,-,-,-1,0,-,-,9304,-,-,-,-
majer627,-,-,-,16,C++,-,59,-,0,-,-,-1,7,-,-,11752,-,-,-,-
makhan,0,0.06,0.00,9,C++,-,39,16,0,0,0,0,0,0,0,7800,-,-,3384,0.04
makkuma,0,1.44,0.02,6,Python,2.7,31,8,0,0,0,0,2,0,0,1951,-,-,71760,1.41
maksim,-,-,-,66,C++,-,54,-,0,-,-,-1,0,-,-,10216,-,-,-,-
manamono,-,-,-,94,C++,-,82,-,0,-,-,-1,0,-,-,9560,-,-,-,-
manasvi2001,0,0.22,0.00,49,C++,-,50,32,0,0,0,0,0,0,0,12568,-,-,12068,0.20
manvmanv,0,0.00,0.00,43,C++,-,35,24,0,0,0,0,0,0,0,9832,-,-,2600,0.00
marcalla,0,0.03,0.00,4,C++,-,33,16,0,0,0,0,1,0,0,7632,-,-,3320,0.03
marioac,0,0.00,0.00,9,C++,-,42,24,0,0,0,0,4,0,0,11984,-,-,2448,0.00
mark2222,0,0.00,0.00,48,C++,-,46,24,0,0,0,0,2,0,0,9448,-,-,2056,0.00
martinezgjuan,0,0.31,0.01,16,Java,-,65,0,0,0,0,0,1,72,0,1864,-,-,60188,0.39
marwanpp,0,0.00,0.00,111,C++,-,70,56,0,0,0,0,7,0,0,26928,-,-,2336,0.00
mastersobg,0,0.17,0.00,12,Java,-,78,0,0,0,0,0,1,80,0,2902,-,-,57020,0.16
mateusz95,0,0.09,0.00,18,C++,-,62,24,0,0,0,0,6,0,0,11024,-,-,11316,0.08
maweaver,0,0.32,0.01,11,C++,-,69,56,0,0,0,0,3,0,0,24736,-,-,7740,0.28
mbaros,-,-,-,65,C++,-,57,-,0,-,-,-1,0,-,-,11184,-,-,-,-
