user_id,blanks,language,compiler_version,cloc,compiled,comments
gizzywump,0.00,0.00,9,0,Python,2.7,67,0,2,0,0,2,0,0,0,6152,0.00
Scooooooorpio,29,C++,-,298,127,9
flurrymin,0.00,0.00,3,0,C#,-,126,0,2,0,0,2,19,0,0,12088,0.00
codezilla,-,-,36,-,java,-,148,-,1,-,-,1,3,-,-,-,-
BigBoy,61,C++,-,210,127,3
jk73,-,-,7,-,java,-,258,-,0,-,-,0,4,-,-,-,-
ishikado,7,C++,-,95,127,8
spicyjalapeno,0.00,0.00,3,0,Python,3.5,37,0,2,0,0,2,0,0,0,7188,0.00
psir,11,C++,-,75,127,5
Chewbacca,48,C++,-,316,127,3
hjc112358,8,C++,-,116,127,0
HimadriC,7,C++,-,116,127,3
MiminoCoder,14,C++,-,155,127,8
fuseidenamida,12,C++,-,155,127,0
stgatilov,19,C++,-,117,127,1
lxx,17,C++,-,123,127,3
fugusuki,0.00,0.03,4,0,C#,-,33,184,0,0,0,0,0,0,0,20380,0.03
omeometo,5,C++,-,70,127,6
Gahon,0,C++,-,30,127,0
chEEtah,61,C++,-,188,127,6
DjinnKahn,25,C++,-,143,127,19
VulpesX,-,-,14,-,java,-,62,-,0,-,-,0,1,-,-,-,-
Kawazoe,9,C++,-,111,127,2
CANDEO,0.00,0.00,12,0,Python,2.7,141,0,0,0,0,0,1,0,0,6748,0.00
khelman,-,-,48,-,java,-,184,-,1,-,-,1,26,-,-,-,-
ethankao,-,-,30,-,java,-,442,-,0,-,-,0,18,-,-,-,-
almaz,36,C++,-,314,127,6
suhang,15,C++,-,111,127,1
elrik,-,-,24,-,java,-,144,-,1,-,-,1,2,-,-,-,-
bmerry,18,C++,-,184,127,0
DuDa,21,C++,-,287,127,23
yasutomo57jp,0.01,0.12,23,0,Python,2.7,107,0,0,0,0,0,4,0,0,11724,0.05
Phil217,-,-,26,-,java,-,357,-,1,-,-,1,26,-,-,-,-
a2stnk,-,-,18,-,java,-,139,-,0,-,-,0,7,-,-,-,-
HellFalcon,-,-,17,-,java,-,163,-,1,-,-,1,15,-,-,-,-
AS1,3,C++,-,63,127,1
dspyz,3,java,-,0,0,46
Saeed,16,C++,-,128,127,1
Frostfrog,25,C++,-,92,127,23
kingbird,2,C,-,135,127,0
whjlx,2,C++,-,105,127,2
qwerty787788,-,-,16,-,java,-,127,-,1,-,-,1,7,-,-,-,-
feigao,7,C++,-,90,127,6
daxia,7,C++,-,101,127,1
t123234,9,C++,-,63,127,0
dnkywin,4,C++,-,102,127,17
t93,8,java,-,62,1,0
mr146,16,C++,-,74,127,1
Vasyl,27,C++,-,153,127,1
ineaugh,51,C++,-,296,127,0
ErickW,7,C++,-,44,127,3
Nicolas16,30,C,-,269,127,25
apoluektov,29,C++,-,131,127,1
Kormat,-,-,10,-,java,-,62,-,0,-,-,0,1,-,-,-,-
latticeguy,10,C++,-,123,127,7
Murphy,7,C++,-,113,127,33
CaptainAhmadi,32,C++,-,168,127,7
fortable,-,-,10,-,Python,2.7,61,-,124,-,-,124,22,-,-,-,-
ahxun2006,6,C++,-,122,127,2
arping,31,C++,-,128,127,80
falcon112358,0.00,0.00,20,0,Python,2.7,135,0,2,0,0,2,12,0,0,6232,0.00
heyihong,1,C++,-,54,127,1
asklzxn2,0,C++,-,128,127,0
sisu,9,C++,-,103,127,12
DaniTunes,-,-,11,-,Python,2.7,101,-,124,-,-,124,26,-,-,-,-
HelloWorlder,0.00,0.00,16,0,Python,2.7,96,0,0,0,0,0,0,0,0,6672,0.00
llanuvas,0.00,0.00,15,0,Python,3.5,85,0,2,0,0,2,3,0,0,7180,0.00
zithral,0.00,11,14,0,Python,2.7,87,0,0,0,0,0,9,0,0,6704,11
wosugi,0.02,3.47,10,0,Python,2.7,45,0,0,0,0,0,5,0,0,13952,3.44
atetubou,6,C,-,120,127,7
Alexander86,8,C++,-,76,127,0
Lewin,-,-,33,-,java,-,226,-,1,-,-,1,1,-,-,-,-
bigeast,5,C,-,54,127,11
Jubanka,14,C,-,171,127,5
kmjp,41,C++,-,176,127,7
danito,0.00,1.42,20,0,Python,2.7,56,0,0,0,0,0,9,0,0,7220,1.42
ray040123,0.00,0.39,2,0,Python,2.7,4,0,0,0,0,0,19,0,0,9096,0.38
dunkmaster,-,-,0,-,java,-,1,-,0,-,-,0,0,-,-,-,-
LinesPrower,17,C++,-,95,127,4
ssssss,-,-,8,-,Python,2.7,45,-,1,-,-,1,1,-,-,-,-
HenrikRueping,2,java,-,48,0,28
