user_id,avg_memory,wall_clock,system_time,blanks,language,compiler_version,cloc,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,comments,nbr_file_out,nbr_page_faults,exe_size,max_RAM,user_time
Longo11070001,0,0.52,0.04,1,C++,-,44,0,0,0,0,0,0,153552,0,9048,2604,0.48
LotK,0,0.00,0.00,4,C++,-,34,0,0,0,0,0,0,0,0,7496,2336,0.00
LuXinyu,0,0.00,0.00,8,C++,-,43,0,0,0,0,0,5,0,0,22464,2560,0.00
Luccan,0,0.00,0.00,1,Python,2.7,49,0,0,0,0,2,2,0,0,-,6220,0.00
LuisSergio,-,-,-,14,Java,-,67,-,1,-,-,-1,0,-,-,-,-,-
Lurvox,0,1.32,0.04,24,C++,-,54,0,0,0,0,0,0,153880,0,33392,2464,1.28
Luyor,0,0.00,0.00,1,C,-,28,0,0,0,0,139,0,0,0,7688,2092,0.00
LynnKayeC,0,0.00,0.00,6,C++,-,40,0,1,0,0,127,2,0,0,-,1348,0.00
M0sTik,0,0.50,0.00,8,C++,-,91,0,0,0,0,0,3,0,0,10280,2500,0.50
M28,0,0.00,0.00,10,C++,-,41,0,0,0,0,0,0,0,0,8032,2260,0.00
MKLOL,0,0.00,0.00,4,C++,-,27,0,0,0,0,0,0,0,0,9904,2484,0.00
MKTBone,0,0.03,0.00,2,Python,2.7,9,0,0,0,0,0,2,0,0,-,6788,0.02
MRain,0,0.01,0.00,2,C++,-,31,0,0,0,0,0,0,0,0,8840,2536,0.00
MTSranger,0,0.01,0.00,2,C++,-,27,0,0,0,0,0,0,0,0,10072,2552,0.00
MadHatter,0,0.00,0.00,5,Python,2.7,24,0,0,0,0,2,1,0,0,-,6224,0.00
MagiMaster,-,-,-,2,C++,-,0,-,1,-,-,-1,9,-,-,-,-,-
Maksud,0,0.00,0.00,38,C++,-,103,0,0,0,0,0,7,8,0,10024,2708,0.00
Maleo,-,-,-,10,C#,-,44,-,1,-,-,-1,0,-,-,-,-,-
Malfple,0,0.00,0.00,9,C++,-,38,0,0,0,0,0,1,0,0,8696,2600,0.00
Mamick,0,0.00,0.00,2,C++,-,39,0,0,0,0,0,10,0,0,10080,2388,0.00
Mandelbratwurst,0,0.00,0.00,20,Python,2.7,34,0,0,0,0,2,2,0,0,-,6176,0.00
Manro,0,0.00,0.00,4,C++,-,65,0,0,0,0,0,9,0,0,9112,2700,0.00
Mariammmm,0,0.15,0.00,10,Java,-,47,0,0,0,0,0,0,72,0,-,30780,0.13
Marjan0003,0,0.00,0.00,11,C++,-,36,0,0,0,0,0,3,0,0,10824,2628,0.00
Marky,0,0.00,0.00,0,C++,-,26,0,0,0,0,0,0,0,0,7400,2356,0.00
MarshallOfSound,0,0.04,0.00,2,Java,-,40,0,0,0,0,1,0,64,0,-,21356,0.04
Marshmallow,-,-,-,10,C#,-,43,-,1,-,-,-1,4,-,-,-,-,-
Marte,0,0.03,0.00,0,Python,2.7,16,0,0,0,0,0,0,0,0,-,6604,0.02
Martial,0,0.00,0.00,3,Python,3.5,20,0,1,0,0,2,0,0,0,-,7264,0.00
Maryam82,0,0.00,0.00,5,Python,2.7,27,0,0,0,0,2,1,0,0,-,6164,0.00
Mastojun,0,0.17,0.00,10,C++,-,45,0,0,0,0,0,0,0,0,8064,2452,0.16
MathCrusader,0,0.01,0.00,7,C++,-,29,0,0,0,0,0,0,0,0,10032,2624,0.00
Mathlover,0,0.00,0.00,0,C++,-,45,0,0,0,0,0,1,0,0,9840,2384,0.00
MattStark,0,0.00,0.00,3,Python,3.5,10,0,1,0,0,2,0,0,0,-,7200,0.00
MattiLeMelon,-,-,-,32,C++,-,42,-,1,-,-,-1,8,-,-,-,-,-
