user_id,syatem_time,wall_clock,system_time,blanks,avg_memory,language,compiler_version,cloc,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,comments,nbr_file_out,nbr_page_faults,exe_size,max_RAM,user_time
metakirby5,0.00,0.01,0.00,2,0,Python,2.7,16,0,0,0,0,0,0,0,0,-,6516,0.00
HowlingSoul,0.00,-,-,0,-,C++,-,38,-,127,-,-,-1,0,-,-,-,-,-
Dembel,0.00,-,-,8,-,C++,-,52,-,127,-,-,-1,0,-,-,-,-,-
3190m,0.00,0.02,0.00,7,0,Python,2.7,19,0,0,0,0,0,3,0,0,-,6488,0.00
Troublemaker,-,-,-,29,-,C++,-,90,-,127,-,-,-1,0,-,-,-,-,-
duyhai,-,-,-,11,-,C++,-,71,-,127,-,-,-1,2,-,-,-,-,-
nonZero,0.00,0.01,0.00,10,0,Python,3.5,18,0,1,0,0,2,6,0,0,-,7236,0.00
vtyw,0.00,-,-,1,-,C++,-,26,-,127,-,-,-1,0,-,-,-,-,-
olage,0.00,-,-,16,-,C++,-,73,-,127,-,-,-1,1,-,-,-,-,-
xfighter,0.00,-,-,3,-,C++,-,33,-,127,-,-,-1,0,-,-,-,-,-
nhn,0.00,1.01,0.00,3,0,Python,2.7,37,0,0,0,0,0,0,8,0,-,6560,1.01
DBZX,-,-,-,14,-,C++,-,148,-,127,-,-,-1,9,-,-,-,-,-
Parikh,0.00,0.05,0.00,7,0,java,-,57,0,0,0,0,1,0,64,0,-,21400,0.04
kevinsogo,0.00,0.00,0.00,1,0,Python,2.7,12,0,0,0,0,0,0,0,0,-,6548,0.00
UpDownDOTA,-,-,-,5,-,C++,-,41,-,127,-,-,-1,0,-,-,-,-,-
brahim,0.00,0.01,0.00,0,0,Python,2.7,25,0,0,0,0,0,0,0,0,-,6576,0.00
JeremyBlum,0.01,0.07,0.00,7,0,java,-,35,0,0,0,0,0,7,64,0,-,24268,0.06
mfranzs,0.00,0.00,0.00,2,0,Python,2.7,0,0,0,0,0,2,4,0,0,-,6144,0.00
alberist1,0.01,1.32,0.01,4,0,Python,2.7,14,0,0,0,0,0,2,0,0,-,38184,1.30
leeyimin,0.00,-,-,3,-,C++,-,32,-,127,-,-,-1,0,-,-,-,-,-
abyssmally,0.00,0.01,0.00,1,0,Python,2.7,27,0,0,0,0,0,0,8,0,-,6412,0.00
ozan,0.00,0.00,0.00,5,0,Python,2.7,20,0,0,0,0,0,0,0,0,-,6372,0.00
theFreightTrain,0.00,0.02,0.00,4,0,Python,2.7,17,0,0,0,0,0,0,0,0,-,6524,0.01
Sereja,0.03,-,-,5,-,C++,-,44,-,127,-,-,-1,0,-,-,-,-,-
qidiot,0.03,-,-,0,-,C++,-,43,-,127,-,-,-1,0,-,-,-,-,-
DuX,0.00,-,-,11,-,C++,-,47,-,127,-,-,-1,0,-,-,-,-,-
aquamongoose,0.00,0.01,0.00,1,0,Python,3.5,18,0,1,0,0,2,0,0,0,-,7168,0.01
knightL,0.00,-,-,2,-,C++,-,41,-,127,-,-,-1,0,-,-,-,-,-
liuq901,0.00,0.00,0.00,2,0,Python,2.7,18,0,0,0,0,0,0,0,0,-,6592,0.00
Curs0r,0.00,-,-,3,-,C++,-,66,-,127,-,-,-1,0,-,-,-,-,-
Nullard,-,-,-,9,-,Python,2.7,46,-,0,-,-,1,3,-,-,-,-,-
First4196,-,-,-,10,-,C++,-,120,-,127,-,-,-1,0,-,-,-,-,-
WJMZBMR,0.00,-,-,2,-,C++,-,32,-,127,-,-,-1,0,-,-,-,-,-
channabankapur,0.00,-,-,5,-,C,-,36,-,127,-,-,-1,0,-,-,-,-,-
aropan,0.00,-,-,6,-,C++,-,65,-,127,-,-,-1,0,-,-,-,-,-
