user_id,avg_memory,wall_clock,system_time,blanks,avg_RAM,language,cloc,nbr_file_in,compiled,swap_main_memory,exit_code,comments,nbr_file_out,nbr_page_faults,exe_size,compiler_version,compile_error_msg,run_error_msg,max_RAM,user_time
AidaoChen,0,0.00,0.00,4,0,C++,59,0,1,0,127,0,0,0,-,-,Unknown error,Command not found,1332,0.00
Ajlohr,0,0.18,0.00,7,0,Java,51,0,0,0,0,0,64,0,1760,-,-,-,28936,0.18
Akigeor,0,0.92,0.00,0,0,C++,102,0,0,0,0,1,0,0,19864,-,-,-,2728,0.63
AlSaeed,-,-,-,15,-,C++,122,-,0,-,-15,8,-,-,47928,-,-,Timeout,-,-
AlanC,0,0.85,0.00,8,0,C++,65,0,0,0,0,3,0,0,17648,-,-,-,2368,0.63
Alcarinquo,0,0.00,0.00,14,0,C++,54,0,0,0,0,2,0,0,21312,-,-,-,2616,0.00
Aleksei,0,0.01,0.00,3,0,C++,88,0,0,0,0,0,0,0,32720,-,-,-,2328,0.00
AlexFetisov,0,0.04,0.00,31,0,Java,258,0,0,0,1,13,64,0,1628,-,-,jav,21892,0.03
AlexZhan,0,0.00,0.00,10,0,C++,48,0,0,0,0,0,0,0,8096,-,-,-,2404,0.00
Alexander86,0,0.03,0.00,8,0,C++,85,0,0,0,0,0,0,0,59024,-,-,-,2896,0.02
Alexiski,0,0.02,0.00,5,0,C++,54,0,0,0,0,0,0,0,17448,-,-,-,2524,0.00
Aliaksei,-,-,-,8,-,C++,80,-,0,-,-15,4,-,-,25072,-,-,Timeout,-,-
AmrMahmoud,0,0.00,0.00,12,0,C++,124,0,0,0,134,0,0,0,57776,-,-,underflow error reading the file,2568,0.00
AndreiBiruk,0,0.00,0.00,5,0,C++,43,0,0,0,0,0,0,0,14784,-,-,-,2544,0.00
AndreySiunov,0,0.83,0.04,115,0,Java,581,0,0,0,0,20,64,0,5367,-,-,-,158196,0.86
Anta0,0,4.39,0.00,6,0,C++,137,0,0,0,0,7,0,0,51752,-,-,-,2724,3.01
AntiForest,0,0.00,0.00,5,0,C++,56,0,0,0,0,6,0,0,10808,-,-,-,2612,0.00
Antoniuk,0,0.00,0.00,17,0,C++,77,0,0,0,134,1,0,0,49664,-,-,underflow error reading the file,2604,0.00
AnyFire,0,0.00,0.00,16,0,C++,59,0,0,0,0,0,0,0,22280,-,-,-,2400,0.00
Anyrainel,0,0.00,0.00,0,0,C++,46,0,0,0,0,0,0,0,9472,-,-,-,2208,0.00
ArbokEkans,-,-,-,29,-,C++,81,-,1,-,-1,24,-,-,-,-,No such file or directory,-,-,-
Armavica,0,1.21,0.00,10,0,Python,45,0,0,0,0,2,0,0,2820,2.7,-,-,6764,1.21
Aros,0,6.90,0.00,6,0,C++,77,0,0,0,0,0,0,0,19864,-,-,-,2556,5.02
AsHes,0,0.00,0.00,3,0,C++,62,0,0,0,0,1,0,0,10904,-,-,-,2732,0.00
Astro75,0,0.00,0.00,7,0,C++,93,0,0,0,0,15,0,0,39984,-,-,-,2680,0.00
Atol,0,0.00,0.00,23,0,C++,155,0,0,0,0,22,0,0,27360,-,-,-,2640,0.00
Aurel,0,0.06,0.00,24,0,Python,101,8,0,0,0,6,0,0,2844,2.7,-,-,7252,0.03
BSBandme,-,-,-,24,-,C++,274,-,1,-,-1,43,-,-,-,-,Unknown error,-,-,-
BellyWhite,0,4.79,0.00,3,0,C++,53,0,0,0,0,1,0,0,11152,-,-,-,2616,3.50
Belonogov,0,0.00,0.00,17,0,C++,142,0,0,0,0,11,0,0,31664,-,-,-,2724,0.00
BennyCarina,0,0.00,0.00,17,0,C++,92,0,0,0,0,0,0,0,10344,-,-,-,2608,0.00
BogoSort,0,0.00,0.00,5,0,C++,56,0,0,0,0,0,0,0,11296,-,-,-,2336,0.00
Bossle,-,-,-,9,-,C++,69,-,0,-,-15,10,-,-,51784,-,-,Timeout,-,-
Bounciness,0,0.01,0.00,17,0,C++,69,0,0,0,0,6,0,0,34984,-,-,-,2340,0.00
Boxer,0,0.01,0.00,8,0,C++,56,0,0,0,0,0,0,0,23328,-,-,-,2608,0.00
Bradrin,0,0.16,0.00,4,0,Java,53,0,0,0,0,0,72,0,1890,-,-,-,28632,0.15
Burunduk1,0,0.00,0.00,6,0,C++,39,0,0,0,0,9,0,0,19064,-,-,-,2748,0.00
CGMorton,0,0.00,0.00,17,0,C++,73,0,0,0,134,8,0,0,24576,-,-,Unknown,2592,0.00
CHRIST,-,-,-,28,-,C#,1449,-,1,-,-1,195,-,-,-,System.Windows,: The type or namespace name `Vector' does not exist in the namespace `System.Wi,-,-,-
CLDP,-,-,-,4,-,C++,50,-,0,-,-15,0,-,-,22736,-,-,Timeout,-,-
Candela,0,0.39,0.03,9,0,C++,85,0,0,0,0,0,120808,0,10152,-,-,-,2708,0.24
Candice,0,0.00,0.00,2,0,C++,52,0,0,0,0,9,0,0,13472,-,-,-,2512,0.00
CaseyRoberts711,0,0.01,0.00,24,0,C++,100,0,0,0,0,44,0,0,23264,-,-,-,2708,0.00
CataractGoogly,0,0.04,0.00,6,0,Java,57,0,0,0,0,1,64,0,1783,-,-,-,21616,0.04
Celicath,0,0.00,0.00,17,0,C++,124,0,1,0,127,1,0,0,-,-,Unknown error,Command not found,1260,0.00
ChCat,0,0.09,0.00,19,0,Java,83,0,0,0,0,0,72,0,2733,-,-,-,26528,0.10
Chaithanya,0,0.00,0.00,4,0,C++,47,0,0,0,0,7,0,0,38248,-,-,-,2488,0.00
Chendy,0,0.00,0.00,0,0,C++,125,0,0,0,0,0,0,0,22464,-,-,-,7616,0.00
Christinass,-,-,-,12,-,C++,104,-,0,-,-15,0,-,-,22000,-,-,Timeout,-,-
ChromeFish,0,5.60,3.28,4,0,C++,89,0,0,0,0,0,120968,0,22736,-,-,-,2540,0.98
Comedi,0,0.00,0.00,4,0,C++,54,0,0,0,0,0,0,0,9920,-,-,-,2644,0.00
ConanKudo247,0,0.00,0.00,7,0,C++,124,0,0,0,134,0,0,0,48704,-,-,underflow error reading the file,2692,0.00
Crossfade,-,-,-,9,-,C++,109,-,1,-,-1,1,-,-,-,-,No such file or directory,-,-,-
Csirke,0,0.00,0.00,33,0,C++,114,0,0,0,0,2,0,0,42176,-,-,-,2544,0.00
Cubix651,-,-,-,10,-,Python,38,-,0,-,-15,16,-,-,2448,2.7,-,Timeout,-,-
Cypi,0,0.02,0.00,9,0,Python,45,8,0,0,0,0,0,0,1998,2.7,-,-,7016,0.02
DAle,0,0.00,0.00,4,0,C++,56,0,0,0,0,0,0,0,10360,-,-,-,2416,0.00
DBZX,-,-,-,70,-,C++,360,-,1,-,-1,71,-,-,-,-,No such file or directory,-,-,-
DCLXVI,0,0.02,0.00,27,0,C++,223,0,0,0,0,2,0,0,51736,-,-,-,2720,0.01
DEGwer,-,-,-,0,-,C++,111,-,1,-,-1,0,-,-,-,-,No such file or directory,-,-,-
DVH312,0,0.00,0.00,6,0,C++,64,0,0,0,0,0,0,0,45912,-,-,-,2548,0.00
DXsmiley,0,0.00,0.00,5,0,C++,46,0,0,0,0,3,0,0,10104,-,-,-,2460,0.00
Daishisan,0,0.18,0.00,13,0,Java,75,0,0,0,0,7,64,0,2099,-,-,-,28332,0.17
DaniJVaz,-,-,-,18,-,C++,68,-,1,-,-1,0,-,-,-,-,reference is ambiguous,-,-,-
DaniTunes,0,0.02,0.00,4,0,Python,37,8,0,0,0,6,0,0,1513,2.7,-,-,7032,0.01
DanielMarques,0,0.06,0.00,3,0,C++,79,0,0,0,0,6,0,0,10856,-,-,-,2620,0.02
DanilC,-,-,-,8,-,C++,92,-,1,-,-1,1,-,-,-,-,not declared,-,-,-
DarinTay,-,-,-,21,-,C++,81,-,1,-,-1,6,-,-,-,-,not declared,-,-,-
Darksun,0,6.05,0.00,14,0,C++,116,0,0,0,0,0,0,0,38904,-,-,-,6512,4.17
DarwDarw,0,0.00,0.00,3,0,C++,47,0,0,0,0,0,0,0,9824,-,-,-,2388,0.00
DeMatos,0,0.00,0.00,4,0,C++,40,0,0,0,0,3,0,0,24816,-,-,-,2612,0.00
Delusion,0,2.06,0.00,14,0,C++,145,0,0,0,0,13,0,0,34384,-,-,-,2488,1.44
Dempsy,0,0.00,0.00,18,0,C++,103,0,0,0,0,0,0,0,12144,-,-,-,2520,0.00
DimkaDA,-,-,-,19,-,C++,78,-,1,-,-1,10,-,-,-,-,No such file or directory,-,-,-
DonaldDuck,0,0.00,0.00,14,0,C++,63,0,0,0,0,7,0,0,34480,-,-,-,2632,0.00
DrBubbles,0,0.00,0.00,26,0,C++,49,0,0,0,0,2,0,0,10456,-,-,-,2612,0.00
Duc,0,0.00,0.00,28,0,C++,156,0,0,0,134,3,0,0,55352,-,-,underflow error reading the file,2696,0.00
Dzhyrma,-,-,-,39,-,Java,284,-,1,-,-1,9,-,-,-,-,package does not exist,-,-,-
EbTech,0,0.01,0.00,4,0,C++,64,0,0,0,0,0,0,0,38312,-,-,-,2816,0.00
EmK,-,-,-,35,-,C#,214,-,0,-,-15,19,-,-,8192,System.Numerics,-,Timeout,-,-
Eminenz,0,0.14,0.00,49,0,Java,255,0,0,0,0,153,72,0,3653,-,-,-,29268,0.16
EmmHaych,-,-,-,6,-,Python,78,-,0,-,1,10,-,-,2349,2.7,-,File or Dir not found,-,-
Empress,0,0.00,0.00,6,0,C++,116,0,0,0,0,0,0,0,22912,-,-,-,2576,0.00
Empty007,-,-,-,19,-,C++,81,-,0,-,-15,0,-,-,44624,-,-,Timeout,-,-
EricDLee,0,0.06,0.00,5,0,Python,46,48,0,0,0,4,0,0,1505,2.7,-,-,6964,0.04
Erich,0,0.00,0.00,15,0,C++,343,0,0,0,0,1,0,0,50528,-,-,-,2416,0.00
Erop,-,-,-,37,-,C++,189,-,1,-,-1,0,-,-,-,-,Unknown error,-,-,-
Error202,0,0.00,0.00,2,0,C++,77,0,0,0,0,1,0,0,26424,-,-,-,2608,0.00
Eryx,-,-,-,37,-,C++,138,-,1,-,-1,20,-,-,-,-,not declared,-,-,-
EternalAnswer,0,0.45,0.02,5,0,C++,63,0,0,0,0,1,129112,0,17840,-,-,-,2620,0.27
Etienne,0,0.00,0.00,10,0,C++,62,0,0,0,0,0,0,0,22384,-,-,-,2488,0.00
Eureka6174,-,-,-,2,-,Python,28,-,0,-,1,0,-,-,-,3.5,-,ValueError,-,-
EvgeniSergeev,0,0.03,0.00,30,0,C++,187,0,0,0,0,13,0,0,96200,-,-,-,2716,0.01
Eyelids,0,0.64,0.02,14,0,C++,73,0,0,0,0,6,120952,0,20304,-,-,-,2640,0.37
FKint,-,-,-,12,-,Python,59,-,0,-,-15,17,-,-,3313,2.7,-,Timeout,-,-
Farqd,0,7.80,0.00,34,0,C++,90,0,0,0,0,23,0,0,79328,-,-,-,2748,5.56
FatAlex,0,0.00,0.00,22,0,Python,92,8,0,0,0,2,0,0,5123,2.7,-,-,6740,0.00
FatalEagle,0,0.00,0.00,5,0,C++,59,0,0,0,0,0,0,0,11112,-,-,-,2548,0.00
FedePousa,-,-,-,10,-,C++,61,-,0,-,-15,0,-,-,45208,-,-,Timeout,-,-
Felix,0,0.02,0.00,12,0,C++,82,248,0,0,0,2,0,0,50352,-,-,-,2884,0.00
FinaleVawait,0,0.00,0.00,5,0,C++,68,0,0,0,0,5,8,0,20968,-,-,-,2944,0.00
FlaminRage,0,0.00,0.00,36,0,C++,187,0,0,0,0,2,0,0,55272,-,-,-,3264,0.00
Floz,0,0.00,0.00,1,0,C++,80,0,0,0,0,1,0,0,22104,-,-,-,2528,0.00
Fly33,0,0.00,0.00,9,0,C++,79,0,0,0,0,0,0,0,20992,-,-,-,5504,0.00
Flydutchman,0,0.00,0.00,6,0,C++,77,0,0,0,0,1,0,0,18616,-,-,-,2696,0.00
FredWang,-,-,-,0,-,C++,83,-,1,-,-1,36,-,-,-,-,expected primary-expression,-,-,-
Fumiya,0,5.37,0.00,6,0,C++,79,0,0,0,0,0,0,0,47912,-,-,-,2844,3.72
GGed,0,1.14,0.00,7,0,C++,59,0,0,0,0,0,0,0,20992,-,-,-,2404,0.80
GannicusYao,0,0.00,0.00,17,0,C++,91,0,0,0,0,1,0,0,23096,-,-,-,2744,0.00
Garo9521,0,7.40,0.16,20,0,C++,91,0,0,0,0,0,0,0,45528,-,-,-,1095792,5.06
GavinTang,0,0.00,0.00,5,0,C++,61,0,0,0,0,0,0,0,15144,-,-,-,2476,0.00
Global,0,0.20,0.00,9,0,Java,55,0,0,0,0,2,64,0,564,-,-,-,29072,0.19
Gluk,-,-,-,13,-,C++,102,-,1,-,-1,1,-,-,-,-,not declared,-,-,-
Gnurdux,0,0.01,0.00,14,0,C++,60,0,0,0,0,24,0,0,10168,-,-,-,2616,0.00
Gomhog,0,0.00,0.00,7,0,C++,48,0,0,0,0,0,0,0,23304,-,-,-,2620,0.00
Grandrogue,0,0.00,0.00,9,0,C++,94,0,0,0,0,0,0,0,56928,-,-,-,2516,0.00
Grzesiu,0,0.02,0.00,13,0,Python,30,8,0,0,0,8,0,0,1910,2.7,-,-,7040,0.02
GunnERs,0,0.00,0.00,16,0,C++,83,0,0,0,0,6,0,0,14600,-,-,-,2496,0.00
HORSE,0,0.00,0.00,9,0,C++,86,0,0,0,0,1,8,0,36232,-,-,-,2376,0.00
HYEA,0,0.00,0.00,0,0,C++,60,0,0,0,0,0,0,0,8448,-,-,-,2416,0.00
Hachiikung,0,0.00,0.00,23,0,C++,115,0,0,0,0,7,0,0,38184,-,-,-,2624,0.00
Hachimori,0,1.73,0.00,29,0,C++,93,0,0,0,0,3,0,0,40528,-,-,-,2544,1.30
HaifengJin,0,2.22,0.00,17,0,C++,157,0,0,0,0,1,0,0,21608,-,-,-,2420,1.66
Hailo,0,0.00,0.00,19,0,C++,112,0,0,0,134,1,0,0,61464,-,-,underflow error reading the file,2700,0.00
Harta,0,8.49,0.00,9,0,C++,73,0,0,0,0,4,0,0,75864,-,-,-,2688,6.00
Hazard,0,0.00,0.00,4,0,C++,56,0,0,0,0,0,0,0,8920,-,-,-,2228,0.00
HellKitsune123,0,0.00,0.00,6,0,C++,63,0,0,0,134,0,0,0,31336,-,-,underflow error reading the file,2652,0.00
HenrikRueping,0,0.03,0.00,1,0,Python,48,0,0,0,0,8,8,0,1587,2.7,-,-,7216,0.03
Hezhu,0,1.21,0.00,8,0,C++,100,0,0,0,0,0,0,0,21024,-,-,-,2416,0.78
HidenoriS,0,0.00,0.00,2,0,C++,68,0,0,0,0,1,0,0,12032,-,-,-,2484,0.00
HiltonLange,-,-,-,8,-,C#,74,-,1,-,-1,0,-,-,-,-,: The type or namespace name `GCJBase' could not be found. Are you missing an as,-,-,-
Hogloid,0,0.01,0.00,23,0,C++,107,0,0,0,0,1,0,0,26712,-,-,-,2748,0.00
HolyMason,0,0.00,0.00,6,0,C++,92,0,0,0,0,0,0,0,19432,-,-,-,2740,0.00
Hongbo,0,0.00,0.00,8,0,C++,135,0,0,0,0,0,0,0,49936,-,-,-,2848,0.00
Hooyoung,0,0.00,0.00,2,0,C++,43,0,0,0,0,0,0,0,9224,-,-,-,2404,0.00
Hwhitetooth,0,2.08,0.00,10,0,C++,95,0,0,0,0,7,0,0,31688,-,-,-,2684,1.20
Hyperbolic,0,0.00,0.00,0,0,C++,84,0,0,0,0,4,0,0,21752,-,-,-,2216,0.00
IcyBlue,0,0.00,0.00,1,0,C++,100,0,0,0,0,0,0,0,19976,-,-,-,2392,0.00
IdoLivneh,0,0.05,0.00,34,0,Python,163,0,0,0,0,17,8,0,6483,2.7,-,-,8864,0.05
Imnimo,0,6.18,0.03,53,0,Java,185,0,0,0,0,19,72,0,4457,-,-,-,67984,6.15
InhaKorean,-,-,-,13,-,Python,50,-,0,-,1,6,-,-,2612,2.7,-,File or Dir not found,-,-
Ismael,0,0.00,0.00,6,0,C++,55,0,0,0,0,0,0,0,17992,-,-,-,2396,0.00
ItsLastDay,-,-,-,28,-,C++,151,-,0,-,-15,21,-,-,76992,-,-,Timeout,-,-
Itu,0,3.22,0.00,14,0,C++,128,0,0,0,0,0,0,0,42984,-,-,-,2708,2.38
IvanYU,0,0.00,0.00,13,0,C++,47,0,0,0,0,2,0,0,9256,-,-,-,2332,0.00
Ixia,-,-,-,4,-,C++,68,-,0,-,-15,0,-,-,18440,-,-,Timeout,-,-
JAPLJ,0,0.00,0.00,14,0,C++,116,0,0,0,0,3,0,0,21984,-,-,-,2716,0.00
JKqq,0,1.25,0.01,23,0,Java,111,0,0,0,0,3,72,0,3429,-,-,-,59516,1.27
JackDamei,0,0.04,0.00,10,0,Java,45,0,0,0,1,1,64,0,1179,-,-,java,21400,0.04
JackLance,0,0.00,0.00,18,0,C++,65,0,0,0,0,0,0,0,16424,-,-,-,2572,0.00
Jakube,0,0.05,0.00,28,0,Python,70,0,0,0,0,7,0,0,3627,2.7,-,-,7068,0.04
Jami,0,5.24,0.00,19,0,C++,117,0,0,0,0,3,0,0,11560,-,-,-,2620,3.82
JanCK,0,0.04,0.00,26,0,Java,121,0,0,0,1,27,64,0,3288,-,-,java,21412,0.03
JasonLee,-,-,-,0,-,C++,122,-,1,-,-1,11,-,-,-,-,not declared,-,-,-
JdPL,0,0.00,0.00,3,0,C++,48,0,0,0,134,0,0,0,18448,-,-,Unknown,2396,0.00
JeffreyHui,-,-,-,0,-,C++,38,-,2,-,-1,0,-,-,-,-,Unknown error,-,-,-
Jens,0,0.67,0.00,41,0,Java,183,0,0,0,0,13,72,0,3515,-,-,-,59936,0.73
JiK,-,-,-,41,-,C++,182,-,1,-,-1,29,-,-,-,-,No such file or directory,-,-,-
Jimbly,-,-,-,35,-,C++,336,-,1,-,-1,41,-,-,-,-,No such file or directory,-,-,-
Jinchun,0,0.14,0.01,7,0,Java,53,0,0,0,0,4,72,0,1720,-,-,-,33604,0.13
JohnSmith,-,-,-,29,-,C++,179,-,1,-,-1,10,-,-,-,-,No such file or directory,-,-,-
JokerPoker,0,0.00,0.00,18,0,C++,141,0,1,0,127,13,0,0,-,-,Unknown error,Command not found,1368,0.00
Jon1025,0,0.00,0.00,3,0,C++,80,0,1,0,127,9,0,0,-,-,Unknown error,Command not found,1352,0.00
JongMan,0,0.01,0.00,21,0,C++,72,0,0,0,0,8,0,0,40664,-,-,-,2344,0.00
Jorik,0,1.23,0.02,9,0,C++,118,0,0,0,0,19,120880,0,66360,-,-,-,2760,0.94
Josse,0,0.08,0.00,9,0,C++,119,0,0,0,0,2,0,0,57456,-,-,-,2512,0.04
Juda,0,0.00,0.00,4,0,C++,54,0,0,0,0,0,0,0,9008,-,-,-,2736,0.00
JuniorHsu,0,0.00,0.00,25,0,C++,105,0,1,0,127,29,0,0,-,-,Unknown error,Command not found,1428,0.00
Junkbot,-,-,-,20,-,C++,117,-,0,-,-15,1,-,-,45176,-,-,Timeout,-,-
KEE,0,0.00,0.00,1,0,C++,106,0,0,0,134,29,0,0,70216,-,-,underflow error reading the file,2588,0.00
KENNYPARK,-,-,-,-,-,C++,-,-,1,-,-1,-,-,-,-,-,not declared,-,-,-
KKOrange,0,0.00,0.00,11,0,C++,111,0,0,0,0,19,0,0,31168,-,-,-,2588,0.00
Kawagiri,0,0.00,0.00,9,0,C++,46,0,0,0,0,8,0,0,10216,-,-,-,2524,0.00
Kengood,-,-,-,45,-,C++,215,-,0,-,-15,47,-,-,62048,-,-,Timeout,-,-
KenjiH,-,-,-,26,-,C++,112,-,0,-,-15,0,-,-,47024,-,-,Timeout,-,-
KennyHORROR,0,0.00,0.00,8,0,C++,129,0,0,0,0,2,0,0,51104,-,-,-,2632,0.00
Keno,-,-,-,19,-,C++,79,-,0,-,-15,11,-,-,35448,-,-,Timeout,-,-
Keyvan,0,0.00,0.00,21,0,C++,100,0,0,0,0,13,0,0,12720,-,-,-,2480,0.00
Kirhog,0,3.88,0.11,26,0,Java,122,0,0,0,0,11,72,0,3768,-,-,-,564236,3.86
Klenes,0,0.01,0.00,3,0,C++,68,0,0,0,0,5,0,0,21496,-,-,-,2608,0.00
KomarovAndrey,0,0.22,0.01,19,0,Java,121,0,0,0,0,14,64,0,2980,-,-,-,29936,0.20
Konrad127123,0,0.00,0.00,4,0,C,39,0,0,0,0,0,0,0,9440,-,-,-,1424,0.00
Kraken,0,0.10,0.00,1,0,Java,56,0,0,0,0,0,72,0,2353,-,-,-,26960,0.10
Krazul,0,6.53,0.00,13,0,C++,91,0,0,0,0,1,0,0,61064,-,-,-,2568,4.73
Kuroba,0,0.00,0.00,18,0,C++,81,0,0,0,0,11,0,0,50920,-,-,-,2476,0.00
Kuros,0,0.00,0.00,12,0,C++,80,0,0,0,0,1,0,0,22152,-,-,-,2544,0.00
L1048596,0,0.00,0.00,14,0,C++,60,0,0,0,0,1,0,0,11264,-,-,-,2396,0.00
LLH,0,0.00,0.00,6,0,C++,47,0,0,0,0,14,0,0,17912,-,-,-,2396,0.00
Laakeri,0,0.00,0.00,2,0,C++,42,0,0,0,0,24,0,0,19048,-,-,-,2496,0.00
Landrew,-,-,-,34,-,C++,119,-,1,-,-1,16,-,-,-,-,No such file or directory,-,-,-
Lau,0,0.03,0.00,2,0,Python,20,0,0,0,0,2,0,0,1336,3.5,-,-,7768,0.03
LawyerZhang,0,0.00,0.00,5,0,C++,50,0,0,0,0,0,0,0,17568,-,-,-,2512,0.00
LayCurse,0,4.81,0.00,24,0,C++,103,0,0,0,0,12,0,0,21136,-,-,-,2532,3.29
LazyAnna,0,0.02,0.00,12,0,C++,88,0,0,0,0,13,0,0,19776,-,-,-,2468,0.00
LeBron,0,0.00,0.00,12,0,C++,110,0,0,0,134,16,0,0,80216,-,-,underflow error reading the file,2704,0.00
LeeSin,0,0.00,0.00,6,0,C++,46,0,0,0,0,0,0,0,9592,-,-,-,2264,0.00
LeoMao,0,0.11,0.00,9,0,Python,40,0,0,0,0,1,0,0,2187,3.5,-,-,7992,0.11
Lerence1201,0,0.00,0.00,12,0,C++,92,0,0,0,134,0,0,0,45000,-,-,underflow error reading the file,2692,0.00
Lewin,0,0.04,0.00,19,0,Java,108,0,0,0,1,0,64,0,2882,-,-,jav,21484,0.04
Lexarx,0,0.00,0.00,5,0,C++,55,0,0,0,0,0,0,0,9640,-,-,-,2540,0.00
Leylaa,0,2.48,0.00,16,0,C++,84,0,0,0,0,6,0,0,47096,-,-,-,2544,1.66
LiJiancheng,0,0.00,0.00,4,0,C++,147,0,0,0,0,7,0,0,45384,-,-,-,2144,0.00
LiXunhuan,-,-,-,24,-,C++,1019,-,0,-,-15,27,-,-,75632,-,-,Timeout,-,-
Lightmoon,0,0.00,0.00,15,0,C++,95,0,0,0,0,4,0,0,49608,-,-,-,2496,0.00
LilacLu,0,0.00,0.00,8,0,C++,91,0,0,0,0,0,0,0,18384,-,-,-,2236,0.00
Linxingyu,0,0.00,0.00,10,0,C++,97,0,0,0,0,1,0,0,22384,-,-,-,2240,0.00
LiuPai,0,0.04,0.00,7,0,Python,52,0,0,0,0,1,0,0,1858,2.7,-,-,9004,0.04
LiuQuan,0,0.00,0.00,3,0,C++,40,0,0,0,0,0,0,0,10040,-,-,-,2516,0.00
Ljxxx,0,0.00,0.00,16,0,C++,70,0,0,0,0,0,0,0,62832,-,-,-,2228,0.00
Longo11070001,0,0.00,0.00,9,0,C++,143,0,0,0,0,8,0,0,44712,-,-,-,2628,0.00
LotK,0,0.00,0.00,8,0,C++,54,0,0,0,0,2,0,0,8472,-,-,-,2348,0.00
LuXinyu,0,0.00,0.00,11,0,C++,65,0,0,0,0,3,0,0,24008,-,-,-,2516,0.00
LynnKayeC,-,-,-,13,-,C++,67,-,0,-,-15,6,-,-,15056,-,-,Timeout,-,-
M0sTik,0,3.85,0.00,16,0,C++,138,0,0,0,0,0,0,0,41768,-,-,-,2512,2.73
MKLOL,0,0.00,0.00,18,0,C++,91,0,0,0,0,0,0,0,59368,-,-,-,7708,0.00
MRain,0,3.47,0.00,12,0,C++,91,0,0,0,0,6,0,0,41944,-,-,-,2812,2.64
MTSranger,0,0.01,0.00,13,0,C++,134,0,0,0,0,6,0,0,40840,-,-,-,2600,0.00
MagiMaster,-,-,-,22,-,C++,86,-,1,-,-1,0,-,-,-,-,No such file or directory,-,-,-
Mamick,-,-,-,12,-,C++,81,-,0,-,-15,19,-,-,44696,-,-,Timeout,-,-
Manro,-,-,-,8,-,C++,99,-,0,-,-15,14,-,-,78184,-,-,Timeout,-,-
Marte,-,-,-,6,-,Python,35,-,0,-,-15,2,-,-,1515,2.7,-,Timeout,-,-
MathCrusader,0,0.00,0.00,17,0,C++,84,0,0,0,0,1,0,0,42976,-,-,-,2432,0.00
Mathlover,0,0.47,0.00,0,0,C++,90,0,0,0,0,0,120928,0,19312,-,-,-,2668,0.28
MattStark,-,-,-,7,-,Python,22,-,0,-,1,2,-,-,-,3.5,-,IndexError,-,-
MauricioC,0,0.01,0.00,15,0,C++,64,0,0,0,0,0,0,0,23000,-,-,-,2476,0.00
MaximKalinin,0,0.01,0.00,8,0,C++,69,0,0,0,0,1,0,0,19912,-,-,-,2492,0.00
McNelly,-,-,-,27,-,C++,189,-,0,-,-15,1,-,-,50064,-,-,Timeout,-,-
Mcginn,0,0.00,0.00,5,0,C++,51,0,0,0,0,0,8,0,9616,-,-,-,2592,0.00
MeandMyself,0,0.00,0.00,16,0,C++,95,0,0,0,0,7,0,0,55152,-,-,-,2564,0.00
MiSawa,-,-,-,3,-,C++,115,-,0,-,-15,15,-,-,66040,-,-,Timeout,-,-
MichaelLevin,0,0.00,0.00,14,0,C++,191,0,0,0,0,34,0,0,56808,-,-,-,2632,0.00
