user_id,syatem_time,wall_clock,blanks,avg_memory,language,compiler_version,cloc,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,comments,nbr_file_out,nbr_page_faults,max_RAM,user_time
ConnorZhong,0.00,0.00,11,0,C++,-,86,0,0,0,0,0,1,0,0,2504,0.00
hehaodele,0.00,0.00,2,0,C++,-,56,0,0,0,0,0,0,0,0,2596,0.00
MathCrusader,0.00,0.00,7,0,C++,-,34,0,0,0,0,0,0,0,0,3292,0.00
arcanum,0.00,0.01,25,0,Python,3.5,48,0,2,0,0,2,2,0,0,7220,0.01
tkryzius,0.00,0.00,10,0,Python,2.7,46,0,2,0,0,2,0,0,0,6116,0.00
tunyash,0.00,0.00,3,0,C++,-,44,0,0,0,0,0,6,0,0,2492,0.00
Krig,0.00,0.00,1,0,C++,-,31,0,0,0,0,0,0,0,0,2432,0.00
dhchoi,-,-,18,-,C++,-,65,-,-1,-,-,-1,2,-,-,-,-
unguguy,0.00,0.00,9,0,C++,-,47,0,0,0,0,0,0,0,0,2616,0.00
prantoran,0.00,0.00,20,0,C++,-,64,0,0,0,0,0,1,0,0,3560,0.00
saar2119,0.00,0.00,12,0,C++,-,91,0,0,0,0,0,5,0,0,2640,0.00
MommyCanCode,0.00,0.00,23,0,C++,-,63,0,0,0,0,0,0,0,0,2596,0.00
PrashantM,-,-,4,-,C++,-,37,-,134,-,-,134,0,-,-,-,-
byc,0.00,0.00,10,0,Python,2.7,36,0,2,0,0,2,1,0,0,6116,0.00
lzx,0.00,0.00,2,0,C++,-,67,0,0,0,0,0,2,0,0,2292,0.00
yue12392,0.00,0.00,7,0,C++,-,46,0,0,0,0,0,0,0,0,2616,0.00
Ramis,0.00,0.00,3,0,C++,-,71,0,0,0,0,0,2,0,0,2456,0.00
adm3ws,0.00,0.00,17,0,C#,-,115,0,2,0,0,2,0,0,0,11924,0.00
HuZhongXian,-,-,4,-,C++,-,61,-,-1,-,-,-1,1,-,-,-,-
nick993,-,-,14,-,C++,-,51,-,-15,-,-,-15,4,-,-,-,-
