user_id,penalty,points
mischievousMe,8500,16
yaegashi,4917,6
xreborner,6985,63
Borisp,5480,63
cos,6562,100
hamadu,6929,63
PrathamKhandelwal,5750,27
Cruiser,8615,63
Petrus,6885,16
ysreboot,3686,10
shaybenmoshe,7110,27
AhmadMamdouh,5837,27
GTCoder,5277,21
jpriebe,7398,10
mrrana,6124,10
nikdelhi,8080,10
sudarshans,5218,6
Wangshu,7926,27
tushi,8292,27
Alireza.bh,4051,27
stormageddon,8545,27
jayi,4565,27
Pompon,9530,100
zackreyn,6837,16
joshuahm,3739,10
gxh,5060,10
zzsy.fox,9865,27
Max8977,5789,27
badpoet55,4228,21
altkeys,8512,64
Jiwan,5331,6
pewniak747,7683,21
Alys88,9169,10
tledbett,5922,10
Foobarbaz,7592,10
spalac24,1510,6
Aleksi,7722,36
Leonardo.Marchetti,8542,64
skol,4039,63
junsung,4854,10
sfange,4270,21
stolis,8305,63
Tokiru,7444,27
Landrew,5224,27
Tedxz,7491,27
wmin0,6966,27
Fdg,5214,63
A.Turtle,7439,57
alan.parra,8405,10
Andfive,7750,16
born2code,8606,10
Shivanker,4644,10
yangfan,6240,10
max.bublis,8372,43
yzernik,5516,21
Aurel,8074,16
Night,7573,16
madokamylove,8087,63
dzmtr,4237,6
vuthi,5229,27
brainail,6865,21
zibada,6930,63
ajmarin,4891,21
zaskar,7992,27
jackhftang,4609,27
y07uc118,3464,10
juwon,6372,16
Rawnblade,7895,63
davi0015,2665,21
DiegoCR,4140,6
masrapid,7626,21
LittleRock,4697,16
fpninja101,3514,6
AndyPortnoy,8560,16
hanfei19910905,3740,27
nextgen,7591,27
pedja245,6884,21
chwu,5790,27
nineve,3537,27
harryeakins,6134,21
marcoskwkm,8926,100
manandsea,8223,27
RahulChaurasia,4098,10
Demjan,8787,57
zhymaoiing,4546,63
IgelSK,3124,27
CaiZhicong,4982,27
NaN,8450,10
Amansa,8414,16
lqs,6394,16
sazas,6582,27
rebelation,7942,63
AMedOs,4593,6
ZhangChi,3597,27
ShawnDong,8063,16
