user_id,avg_memory,wall_clock,system_time,blanks,compiler_version,language,cloc,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,comments,nbr_file_out,nbr_page_faults,exe_size,compile_error_msg,run_error_msg,max_RAM,user_time
vlejd,-,-,-,7,3.5,Python,30,-,0,-,-,1,0,-,-,1368,-,SyntaxError,-,-
vout,0,0.00,0.00,7,-,C++,42,0,0,0,0,0,0,0,0,10224,-,-,2508,0.00
vvneagleone,0,0.00,0.00,8,-,C++,86,0,0,0,0,0,7,0,0,24784,-,-,2628,0.00
vxgmichel,0,0.02,0.00,27,2.7,Python,136,24,0,0,0,2,20,0,0,1375,-,Unknown,9140,0.01
waitingkuo0527,0,0.71,0.00,22,3.5,Python,60,0,0,0,0,0,7,0,0,2830,-,-,9680,0.70
wanggp3,0,0.00,0.00,0,-,C++,47,0,0,0,0,0,1,0,0,10952,-,-,2616,0.00
wap5,0,0.00,0.00,6,-,C++,57,0,0,0,0,0,1,0,0,10416,-,-,2444,0.00
warrior107,0,0.06,0.00,10,-,C#,56,0,0,0,0,0,0,0,0,4096,-,-,11436,0.03
wata,0,0.11,0.01,10,-,Java,97,0,0,0,0,0,0,72,0,2972,-,-,28476,0.08
waterfood,-,-,-,3,-,C#,62,-,0,-,-,1,0,-,-,4608,-,: System.IO.DirectoryNotFoundException,-,-
wdw,0,0.01,0.00,2,2.7,Python,31,8,0,0,0,0,10,0,0,1963,-,-,7028,0.00
wdydyb,0,0.00,0.00,3,-,C++,67,0,0,0,0,0,1,0,0,70024,-,-,2648,0.00
weiszago,0,0.00,0.00,6,-,C++,49,0,0,0,0,0,0,8,0,10264,-,-,2452,0.00
wellvolks,0,0.00,0.00,6,-,C++,63,0,0,0,0,0,0,0,0,79328,-,-,2512,0.00
wellwell,-,-,-,24,-,C++,87,-,0,-,-,-15,5,-,-,53512,-,Timeout,-,-
wh61,0,0.48,0.02,8,-,C++,46,0,0,0,0,0,0,137192,0,8968,-,-,2576,0.45
whai,0,0.21,0.00,10,-,C++,62,0,0,0,0,0,0,0,0,11248,-,-,2672,0.19
whalyzh,-,-,-,3,-,C++,65,-,0,-,-,-15,0,-,-,29456,-,Timeout,-,-
wilsonlym,0,0.00,0.00,3,-,C++,44,0,0,0,0,0,0,0,0,9760,-,-,2528,0.00
wintersnow,0,0.00,0.00,4,-,C,66,0,0,0,0,0,0,944,0,8200,-,-,1420,0.00
wjfwzzc,0,0.00,0.00,0,-,C++,23,0,0,0,0,0,2,0,0,7392,-,-,2280,0.00
wojtekm,0,0.00,0.00,12,-,C++,44,0,0,0,0,0,0,0,0,9792,-,-,2476,0.00
wook,0,0.01,0.00,11,-,C++,67,0,0,0,0,0,2,0,0,51664,-,-,2748,0.00
wpb93,0,0.00,0.00,3,-,C++,30,0,0,0,0,0,0,0,0,16208,-,-,2256,0.00
wu6shen,-,-,-,1,-,C++,-,-,1,-,-,-1,0,-,-,-,Unknown error,-,-,-
wufy,0,0.00,0.00,2,-,C++,65,0,0,0,0,0,7,0,0,18056,-,-,2396,0.00
wuyiqi,0,0.00,0.00,0,-,C++,38,0,0,0,0,0,0,0,0,16424,-,-,2120,0.00
wwt15,0,0.00,0.00,4,-,C++,56,0,0,0,0,0,2,0,0,18480,-,-,2396,0.00
wxy00,-,-,-,42,-,C++,114,-,1,-,-,-1,2,-,-,-,No such file or directory,-,-,-
xDEMONx,0,0.07,0.02,11,-,Java,66,0,0,0,0,0,0,72,0,2453,-,-,26712,0.05
xDanielx,0,0.09,0.01,8,-,Java,64,0,0,0,0,0,0,72,0,2376,-,-,27048,0.08
xameleon,0,0.02,0.00,23,-,C#,139,0,0,0,0,0,18,8,0,6656,-,-,11376,0.02
xashru,0,0.00,0.00,9,-,C++,91,0,0,0,0,0,0,0,0,49696,-,-,2600,0.00
xauoyero,0,0.00,0.00,0,-,C++,52,0,0,0,0,0,6,0,0,25088,-,-,2500,0.00
