user_id,avg_memory,wall_clock,system_time,blanks,compiler_version,language,cloc,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,comments,nbr_file_out,nbr_page_faults,exe_size,max_RAM,user_time
NeroSiegfried,0,0.00,0.00,0,2.7,Python,11,8,0,0,0,0,0,8,0,-,6568,0.00
Neroysq,0,0.00,0.00,4,-,C++,29,0,0,0,0,0,0,0,0,8424,2604,0.00
Netdex,0,0.07,0.03,5,-,Java,20,0,0,0,0,0,1,72,0,1365,21468,0.03
Neverauskas,-,-,-,8,-,C#,73,-,0,-,-,1,0,-,-,4608,-,-
Neverous,0,0.00,0.00,4,-,C++,18,0,0,0,0,0,4,0,0,7288,2344,0.00
Newen,0,0.00,0.00,5,2.7,Python,10,0,0,0,0,2,0,0,0,-,6064,0.00
Nib,0,0.00,0.00,1,-,C++,16,0,0,0,0,0,0,0,0,8104,2668,0.00
Nicccccccccck,0,0.00,0.00,0,-,C++,17,0,0,0,0,136,0,0,0,7744,2000,0.00
NickApo,0,0.00,0.00,9,-,C,22,0,0,0,0,127,0,0,0,7376,1276,0.00
NicoLwk,0,0.06,0.01,2,-,Java,77,0,0,0,0,1,0,64,0,1370,23980,0.04
Nicola17,0,0.00,0.00,18,-,C++,51,0,0,0,0,1,2,0,0,11816,2468,0.00
Niketeen,0,0.00,0.00,9,-,C++,38,0,0,0,0,0,2,0,0,9896,2384,0.00
NikitaD,0,0.00,0.00,19,-,C++,48,0,0,0,0,0,1,0,0,9952,2468,0.00
NikolayKochetov,0,0.00,0.00,6,-,C++,28,0,0,0,0,0,0,0,0,12072,2500,0.00
Niquitto,0,0.03,0.02,5,-,C++,30,0,0,0,0,0,4,1328,0,10056,2380,0.00
Nishant4,0,0.00,0.00,5,-,C++,35,0,0,0,0,0,0,0,0,9672,2704,0.00
NitishC,0,0.11,0.00,2,-,Java,43,0,0,0,0,0,1,64,0,1231,24464,0.10
NoNo,-,-,-,4,-,C++,39,-,0,-,-,-15,0,-,-,8744,-,-
NoS,0,0.09,0.02,8,-,Java,58,0,0,0,0,1,0,64,0,2472,21360,0.06
Nolpfij,0,0.05,0.00,8,-,Java,50,0,0,0,0,1,5,64,0,1356,21692,0.04
Noobgam,0,0.00,0.00,1,-,C++,56,0,0,0,0,134,0,0,0,10040,2472,0.00
Novemura,0,0.00,0.00,2,2.7,Python,22,8,0,0,0,0,1,0,0,-,6312,0.00
Nullard,0,0.00,0.00,10,2.7,Python,38,8,0,0,0,0,15,8,0,-,6556,0.00
NutZ,0,0.00,0.00,19,-,C++,89,0,0,0,0,0,2,0,0,10392,2588,0.00
Nyaganya,0,0.00,0.00,6,2.7,Python,9,8,0,0,0,0,0,0,0,-,6560,0.00
OcoToOo,0,0.00,0.00,9,-,C++,75,0,0,0,0,0,2,0,0,11152,2516,0.00
Oenothera,0,0.00,0.00,9,-,C++,22,0,1,0,0,127,0,0,0,-,1276,0.00
OlegHaracidi,0,0.00,0.00,0,2.7,Python,5,8,0,0,0,0,0,0,0,-,6468,0.00
OmarHashim,0,0.01,0.00,7,-,C++,68,0,0,0,0,0,0,1520,0,10008,2604,0.00
OneTouchFinish,0,0.00,0.00,0,-,C++,25,0,0,0,0,0,0,0,0,9344,2700,0.00
Orangerobber,0,0.00,0.00,7,2.7,Python,14,8,0,0,0,0,4,0,0,-,6820,0.00
Orlangur,0,0.02,0.00,4,-,C#,30,0,0,0,0,0,0,0,0,4096,10704,0.01
Oroko,0,0.00,0.00,1,-,C++,25,0,0,0,0,0,0,0,0,8136,2744,0.00
OsamaF,0,0.00,0.00,5,-,C++,17,0,0,0,0,0,7,0,0,11208,2616,0.00
Oswald,-,-,-,0,-,C#,26,-,0,-,-,1,0,-,-,3584,-,-
Oswaldo,0,0.06,0.00,2,-,Java,37,0,0,0,0,0,0,64,0,1515,21276,0.05
PASTor,0,0.01,0.00,17,2.7,Python,16,8,0,0,0,0,5,0,0,-,8196,0.00
PCZ,0,0.00,0.00,2,-,C++,21,0,0,0,0,0,0,0,0,10184,2452,0.00
PERNEKHAN,-,-,-,13,-,C++,59,-,1,-,-,-1,0,-,-,-,-,-
PGoerlach,0,0.00,0.00,14,-,C++,54,0,0,0,0,1,7,0,0,11936,2580,0.00
PHX,0,0.04,0.00,17,-,Java,39,0,0,0,0,1,7,64,0,1628,21280,0.04
PNG,0,0.08,0.00,9,-,Java,23,0,0,0,0,0,0,72,0,905,29444,0.06
Paaniya,0,0.09,0.01,6,-,Java,23,0,0,0,0,0,0,64,0,1017,24576,0.08
Pablos,0,0.04,0.00,15,-,Java,41,0,0,0,0,1,0,64,0,1518,21412,0.04
PageNotFound,0,0.00,0.00,4,2.7,Python,14,0,0,0,0,2,1,0,0,-,6132,0.00
PalashBansal96,0,0.00,0.00,0,-,C++,18,0,0,0,0,134,6,0,0,11496,2580,0.00
PattyHuang,0,0.00,0.00,0,2.7,Python,11,0,0,0,0,0,0,0,0,-,6516,0.00
PavelChadnov,0,0.09,0.00,12,-,Java,41,0,0,0,0,0,2,64,0,2040,29808,0.08
PavelSavchenkov,0,0.00,0.00,20,-,C++,101,0,0,0,0,0,1,0,0,10072,2776,0.00
Pep,-,-,-,2,-,Java,2,-,0,-,-,-1,47,-,-,4521,-,-
Peti,0,0.00,0.00,4,-,C++,20,0,0,0,0,0,0,0,0,9912,2624,0.00
Pewfangirl,0,0.00,0.00,5,2.7,Python,13,0,0,0,0,2,0,0,0,-,6104,0.00
PhuongLan,0,0.00,0.00,4,-,C++,18,0,0,0,0,0,0,0,0,11176,2604,0.00
Piano,0,0.00,0.00,1,-,C,13,0,0,0,0,127,0,0,0,7024,1432,0.00
Pierroteknik,0,0.00,0.00,2,-,C,29,0,0,0,0,127,1,0,0,7056,1376,0.00
PinkPanda,0,0.07,0.01,5,-,Java,103,0,0,0,0,0,0,64,0,2487,21464,0.05
Plat5,0,0.00,0.00,30,-,C++,41,0,0,0,0,1,8,0,0,13984,2520,0.00
Poor,0,0.00,0.00,0,-,C++,1,0,0,0,0,0,0,0,0,10624,2492,0.00
PowerSystem,0,0.03,0.00,9,-,C#,43,0,0,0,0,0,10,8,0,4096,10504,0.02
Prahal,0,0.04,0.04,5,-,C++,28,0,0,0,0,0,0,0,0,10208,2492,0.00
Pranet,0,0.00,0.00,0,-,C++,37,0,0,0,0,0,3,0,0,11248,2332,0.00
PreNa,0,0.00,0.00,5,-,C++,19,0,0,0,0,136,0,0,0,10992,2292,0.00
